Comuna_Establecimiento;LATITUD;LONGITUD;Cuenta de NOM_ESTAB;Matriculas
CONCHALÍ_ESCUELA BAS. ISABEL GONZALEZ CARES;-33.38419677;-70.67105794;57;57
CONCHALÍ_ESCUELA BASICA INES DE SUAREZ;-33.39311782;-70.66738814;26;26
CONCHALÍ_ESCUELA BASICA LIKAN-ANTAI;-33.37608717;-70.6645136;30;30
CONCHALÍ_ESCUELA BÀSICA Nº 1090 UNIÒN LATINOAMERICANA;-33.39392678;-70.66769374;31;31
CONCHALÍ_ESCUELA BASICA PART.MARY ANNE SCHOOL;-33.3828888;-70.68198133;80;80
CONCHALÍ_ESCUELA BASICA PARTICULAR TRUPAN;-33.37558647;-70.67664025;45;45
CONCHALÍ_ESCUELA BÁSICA POETA EUSEBIO LILLO;-33.37750382;-70.69332638;61;61
CONCHALÍ_ESCUELA CAMILO HENRIQUEZ;-33.38870845;-70.67837993;63;63
CONCHALÍ_ESCUELA D-114;-33.37152685;-70.67835331;40;40
CONCHALÍ_ESCUELA DE PARVULOS N°1418 NUESTRO HOGAR;-33.38595;-70.68053;102;102
CONCHALÍ_ESCUELA DE PARVULOS N°1511 LA SEMILLITA;-33.394142;-70.66878;18;18
CONCHALÍ_ESCUELA DRA.ELOISA DIAZ INSUNZA;-33.38236108;-70.65981063;66;66
CONCHALÍ_ESCUELA ESP. GROWING SCHOOL;-33.37655999;-70.6709;52;52
CONCHALÍ_ESCUELA ESP. HUMBERTO ARANDA IRRIBARREN;-33.39729299;-70.66296;7;7
CONCHALÍ_ESCUELA ESP. RUTH DE CONCHALI;-33.38796;-70.67247999;111;111
CONCHALÍ_ESCUELA ESPECIAL DE LENGUAJE SAN NICOLÁS DE BELÉN;-33.383812;-70.679756;144;144
